SC_backup,BackupCat,backupDescrip
173,"BOLT,MACHINE","STEEL;GALV;HEX HD;M10;ISO M;90 MM LG; W/HEX NUT TO BE FITTED TO BOLT,FULL-SIZE SHANK;BAG OF 50,PACK  WEIGHT 3.70 KG; "
174,"BOLT,MACHINE",STEEL;GALV;HEX HD;M10;ISO M;100 MM LG; W/HEX NUT;FULL-SIZE SHANK;BOX OF 50;  
174,"BOLT,MACHINE",STEEL;GALV;HEX HD;M10;ISO M;100 MM LG; W/HEX NUT;FULL-SIZE SHANK;BOX OF 50;  
175,"BOLT,MACHINE","STEEL;GALV;HEX HD;M10;ISO M;120 MM LG; W/HEX NUT;FULL-SIZE SHANK;PACK OF 50, PACK WEIGHT 4.60 KG; "
175,"BOLT,MACHINE","STEEL;GALV;HEX HD;M10;ISO M;120 MM LG; W/HEX NUT;FULL-SIZE SHANK;PACK OF 50, PACK WEIGHT 4.60 KG; "
176,"BOLT,MACHINE",STEEL;GALV;HEX HD;M10;ISO M;130 MM LG; W/HEX NUT;FULL-SIZE SHANK;BAG OF 50;  
176,"BOLT,MACHINE",STEEL;GALV;HEX HD;M10;ISO M;130 MM LG; W/HEX NUT;FULL-SIZE SHANK;BAG OF 50;  
182,"BOLT,MACHINE","STEEL;GALV;HEX HD;M12;ISO M;25 MM LG; W/HEX NUT TO BE FITTED TO BOLT,FULL-SIZE SHANK; Pack of 100; "
182,"BOLT,MACHINE","STEEL;GALV;HEX HD;M12;ISO M;25 MM LG; W/HEX NUT TO BE FITTED TO BOLT,FULL-SIZE SHANK; Pack of 100; "
183,"BOLT,MACHINE","STEEL;GALV;HEX HD;M12;ISO M;30 MM LG; W/HEX NUT TO BE FITTED TO BOLT,FULL-SIZE SHANK;PACK OF 250; "
183,"BOLT,MACHINE","STEEL;GALV;HEX HD;M12;ISO M;30 MM LG; W/HEX NUT TO BE FITTED TO BOLT,FULL-SIZE SHANK;PACK OF 250; "
184,"BOLT,MACHINE","STEEL;GALV;HEX HD;M12;ISO M;40 MM LG; W/HEX NUT TO BE FITTED TO BOLT,FULL-SIZE SHANK;BAG OF 200,PACK WEIGHT 13.00 KG; "
186,"BOLT,MACHINE",STEEL;GALV;HEX HD;M12;ISO M;50 MM LG; W/HEX NUT;FULL-SIZE SHANK;BAG OF 150;  
188,"BOLT,MACHINE",STEEL;GALV;HEX HD;M12;ISO M;75 MM LG; W/HEX NUT;FULL-SIZE SHANK;PACK OF 150;  
188,"BOLT,MACHINE",STEEL;GALV;HEX HD;M12;ISO M;75 MM LG; W/HEX NUT;FULL-SIZE SHANK;PACK OF 150;  
190,"BOLT,MACHINE","STEEL;GALV;HEX HD;M12;ISO M;100 MM LG; W/HEX NUT TO BE FITTED TO BOLT,FULL-SIZE SHANK;BAG OF 100,PACK WEIGHT 11.60 KG; "
190,"BOLT,MACHINE","STEEL;GALV;HEX HD;M12;ISO M;100 MM LG; W/HEX NUT TO BE FITTED TO BOLT,FULL-SIZE SHANK;BAG OF 100,PACK WEIGHT 11.60 KG; "
191,"BOLT,MACHINE",STEEL;GALV;HEX HD;M12;ISO M;120 MM LG; W/HEX NUT;FULL-SIZE SHANK;PACK OF 100;  
191,"BOLT,MACHINE",STEEL;GALV;HEX HD;M12;ISO M;120 MM LG; W/HEX NUT;FULL-SIZE SHANK;PACK OF 100;  
192,"BOLT,MACHINE","STEEL;GALV;HEX HD;M12;ISO M;130 MM LG; W/HEX NUT TO BE FITTED TO BOLT,FULL-SIZE SHANK; "
193,"BOLT,MACHINE","STEEL;GALV;HEX HD;M12;ISO M;140 MM LG; W/HEX NUT;FULL-SIZE SHANK; PACK OF 100, PACK WEIGHT 23 KG; "
193,"BOLT,MACHINE","STEEL;GALV;HEX HD;M12;ISO M;140 MM LG; W/HEX NUT;FULL-SIZE SHANK; PACK OF 100, PACK WEIGHT 23 KG; "
194,"BOLT,MACHINE","STEEL;GALV;HEX HD;M12;ISO M;150 MM LG; W/HEX NUT;FULL-SIZE SHANK;PACK SIZE 75, PACK WEIGHT 12.60 KG; "
197,"BOLT,MACHINE","STEEL;GALV;HEX HD;M12;ISO M;200 MM LG; W/HEX NUT TO BE FITTED TO BOLT,FULL-SIZE SHANK;BAG OF 50,PACK WEIGHT 10.40 KG; "
197,"BOLT,MACHINE","STEEL;GALV;HEX HD;M12;ISO M;200 MM LG; W/HEX NUT TO BE FITTED TO BOLT,FULL-SIZE SHANK;BAG OF 50,PACK WEIGHT 10.40 KG; "
209,"BOLT,MACHINE","STEEL;GALV;HEX HD;M16;ISO M;40 MM LG; W/HEX NUT TO BE FITTED TO BOLT,FULL-SIZE SHANK;BAG OF 100,PACK WEIGHT 11.70 KG; "
214,"BOLT,MACHINE","STEEL;GALV;HEX HD;M16;ISO M;75 MM LG; W/HEX NUT TO BE FITTED TO BOLT,FULL-SIZE SHANK "
216,"BOLT,MACHINE","STEEL;GALV;HEX HD;M16;ISO M;100 MM LG; W/HEX NUT TO BE FITTED TO BOLT,FULL-SIZE SHANK;BAG OF 50,PACK WEIGHT 10.65 KG; "
218,"BOLT,MACHINE","STEEL;GALV;HEX HD;M16;ISO M;130 MM LG; W/HEX NUT TO BE FITTED TO BOLT,FULL-SIZE SHANK;PACK OF 50,PACK WEIGHT 12.85 KG, PALLET OF 3000,PALLET WEIGHT 765 KG;"
219,"BOLT,MACHINE","STEEL;GALV;HEX HD;M16;ISO M;140 MM LG; W/HEX NUT;FULL-SIZE SHANK;PACK OF 50, PACK WEIGHT 13.75 KG; "
219,"BOLT,MACHINE","STEEL;GALV;HEX HD;M16;ISO M;140 MM LG; W/HEX NUT;FULL-SIZE SHANK;PACK OF 50, PACK WEIGHT 13.75 KG; "
221,"BOLT,MACHINE","STEEL;GALV;HEX HD;M16;ISO M;180 MM LG; W/HEX NUT;FULL-SIZE SHANK;BAG OF 30,PACK WEIGHT 10.41 KG,PALLET SIZE 2400,PALLET WEIGHT 830 KG;"
224,"BOLT,MACHINE","STEEL;GALV;HEX HD;M16;ISO M;220 MM LG; W/HEX NUT TO BE FITTED TO BOLT,FULL-SIZE SHANK "
225,"BOLT,MACHINE",STEEL;GALV;HEX HD;M16;ISO M;240 MM LG; W/HEX NUT;FULL-SIZE SHANK;PACK OF 25;  
226,"BOLT,MACHINE","STEEL;GALV;HEX HD;M16;ISO M;260 MM LG; W/HEX NUT TO BE FITTED TO BOLT,FULL-SIZE SHANK;PACK OF 25,PACK WEIGHT 11.22 KG; "
228,"BOLT,MACHINE","STEEL;GALV;HEX HD;M16;ISO M;300 MM LG; W/HEX NUT TO BE FITTED TO BOLT,FULL-SIZE SHANK;BAG OF 25,PACK WEIGHT 12.90 KG; "
232,"BOLT,MACHINE","STEEL;GALV;HEX HD;M16;ISO M;400 MM LG; W/HEX NUT TO BE FITTED TO BOLT,FULL-SIZE SHANK "
234,"BOLT,MACHINE","STEEL;GALV;HEX HD;M16;ISO M;450 MM LG; W/HEX NUT;FULL-SIZE SHANK;USED IN CONJUNCTION WITH EDO MOUNTING BRACKET ,REFER OCM 4/34;PACK OF 20;"
237,"BOLT,MACHINE","STEEL;GALV;HEX HD;M20;ISO M;60 MM LG; W/HEX NUT TO BE FITTED TO BOLT,FULL-SIZE SHANK;BAG OF 50,PACK WEIGHT 12.95 KG; "
237,"BOLT,MACHINE","STEEL;GALV;HEX HD;M20;ISO M;60 MM LG; W/HEX NUT TO BE FITTED TO BOLT,FULL-SIZE SHANK;BAG OF 50,PACK WEIGHT 12.95 KG; "
242,"BOLT,MACHINE",STEEL;GALV;HEX HD;M20;ISO M;150 MM LG; W/HEX NUT;FULL SIZE SHANK;BOX OF 25;  
243,"BOLT,MACHINE","STEEL;GALV;HEX HD;M20;ISO M;180 MM LG; W/HEX NUT;FULL-SIZE SHANK;MIN THREAD LENGTH 70MM; BAG OF 25, WEIGHT 13.82 KG, PALLET SIZE 2000,PALLET WEIGHT 1138 KG;"
246,"BOLT,MACHINE","STEEL;GALV;HEX HD;M20;ISO M;280 MM LG; W/HEX NUT;FULL-SIZE SHANK,MIN THREAD LENGTH 100 MM; PACK  OF 15; "
246,"BOLT,MACHINE","STEEL;GALV;HEX HD;M20;ISO M;280 MM LG; W/HEX NUT;FULL-SIZE SHANK,MIN THREAD LENGTH 100 MM; PACK  OF 15; "
247,"BOLT,MACHINE","STEEL;GALV;HEX HD;M20;ISO M;300 MM LG; W/HEX NUT TO BE FITTED TO BOLT,FULL-SIZE SHANK,MIN THREAD LENGTH 100 MM; BAG OF 15,PACK WEIGHT 12.66 KG;"
249,"BOLT,MACHINE","STEEL;GALV;HEX HD;M20;ISO M;350 MM LG; W/HEX NUT TO BE FITTED TO BOLT,FULL-SIZE SHANK,MIN THREAD LENGTH 100 MM; BAG OF 15,PACK WEIGHT 14.29 KG,PALLET"
251,"BOLT,MACHINE","STEEL;GALV;HEX HD;M20;ISO M;400 MM LG; W/HEX NUT TO BE FITTED TO BOLT,FULL SIZE SHANK;MIN THREAD LENGTH 100 MM; "
253,"BOLT,MACHINE","STEEL;GALV;HEX HD;M20;ISO M;450 MM LG; W/HEX NUT TO BE FITTED TO BOLT,FULL-SIZE SHANK;MIN THREAD LENGTH 100 MM; BAG OF 10,PACK WEIGHT 11.95 KG,PALLET"
255,"BOLT,MACHINE","STEEL;GALV;HEX HD;M20;ISO M;500 MM LG; W/HEX NUT TO BE FITTED TO BOLT,FULL-SIZE SHANK;MIN THREAD LENGTH 100 MM; BAG OF 10,PACK WEIGHT 13.12 KG;"
257,"BOLT,MACHINE","STEEL;GALV;HEX HD;M20;ISO M;550 MM LG; W/HEX NUT TO BE FITTED TO BOLT,FULL-SIZE SHANK;MIN THREAD LENGTH 100 MM; BAG OF 10,PACK WEIGHT 14.28 KG;"
259,"BOLT,MACHINE","STEEL;GALV;HEX HD;M20;ISO M;600 MM LG; W/HEX NUT TO BE FITTED TO BOLT,FULL-SIZE SHANK;MIN THREAD LENGTH 100 MM; BAG OF 10,PACK WEIGHT 15.47 KG;"
261,"BOLT,MACHINE","STEEL;GALV;HEX HD;M20;ISO M;650 MM LG; W/HEX NUT TO BE FITTED TO BOLT,FULL-SIZE SHANK;MIN THREAD LENGTH 100 MM; "
263,"BOLT,MACHINE","STEEL;GALV;HEX HD;M20;ISO M;700 MM LG; W/HEX NUT TO BE FITTED TO BOLT,FULL-SIZE SHANK;MIN THREAD LENGTH 100 MM; "
264,"BOLT,MACHINE","STEEL;GALV;HEX HD;M20;ISO M;750 MM LG; W/HEX NUT TO BE FITTED TO BOLT,FULL-SIZE SHANK;MIN THREAD LENGTH 100 MM; "
269,"BOLT,MACHINE","STEEL;GALV;HEX HD;M24;ISO M;400 MM LG; W/HEX NUT TO BE FITTED TO BOLT,FULL-SIZE SHANK;BAG OF 10,PACK WEIGHT 14.72 KG; "
402,"BOLT,MACHINE","STAINLESS STEEL,GDE 304;HEX HD;M6;ISO M; 40 MM LG;W/HEX NUT;DIN 931/AS1444; BOX OF 100,PACK WEIGHT 1.270 KG; "
403,"BOLT,MACHINE","STAINLESS STEEL,GDE 304;HEX HD;M8;ISO M; 30 MM LG;W/HEX NUT;AS1444/DIN 931; BOX OF 100,PACK WEIGHT 2.0 KG; "
403,"BOLT,MACHINE","STAINLESS STEEL,GDE 304;HEX HD;M8;ISO M; 30 MM LG;W/HEX NUT;AS1444/DIN 931; BOX OF 100,PACK WEIGHT 2.0 KG; "
407,"BOLT,MACHINE","STAINLESS STEEL,GDE 304;HEX HD;M10;ISO M ;40 MM LG;W/HEX NUT;AS2837/AS1449 (MATERIAL),AS1111/DIN 931 (DIMENSIONS); BOX OF 100,PACK WEIGHT 4.6 KG;"
408,"BOLT,MACHINE","STAINLESS STEEL,GDE 304;HEX HD;M10;ISO M ;45 MM LG;W/HEX NUT;AS2837/AS1449 (MATERIAL),AS1111/DIN 931 (DIMENSIONS); BOX  OF 100;"
411,SETSCREW,"STAINLESS STEEL,GDE 304;HEX HD;FLAT POINT;M12;ISO M;30 MM LG;W/HEX NUT; AS2837/AS1499 (MATERIAL),AS1111 (DIMENSIONS) DIN 933;BOX OF 100;"
411,SETSCREW,"STAINLESS STEEL,GDE 304;HEX HD;FLAT POINT;M12;ISO M;30 MM LG;W/HEX NUT; AS2837/AS1499 (MATERIAL),AS1111 (DIMENSIONS) DIN 933;BOX OF 100;"
411,SETSCREW,"STAINLESS STEEL,GDE 304;HEX HD;FLAT POINT;M12;ISO M;30 MM LG;W/HEX NUT; AS2837/AS1499 (MATERIAL),AS1111 (DIMENSIONS) DIN 933;BOX OF 100;"
412,"BOLT,MACHINE","STAINLESS STEEL,GDE 304;HEX HD;M12;ISO M ;40 MM LG;W/HEX NUT;AS2837/AS1449 (MATERIAL),AS1111/DIN 931 (DIMENSIONS); "
413,"BOLT,MACHINE","STAINLESS STEEL,GDE 304;HEX HD;M12;ISO M ;50 MM LG;W/HEX NUT;AS2837/AS1449 (MATERIAL),AS1111/DIN 931 (DIMENSIONS); BOX OF 50,PACK WEIGHT 3.7 KG;"
414,"BOLT,MACHINE","M12 x 60mm, Hex, S/Steel Gde 316 c/w Hex Nut S/Steel Gde 304, Aust Std (P25)  "
415,"BOLT,MACHINE","STAINLESS STEEL,GDE 304;HEX HD;M12;ISO M ;70 MM LG;W/HEX NUT;AS1444/DIN 931;  "
416,"BOLT,MACHINE","STAINLESS STEEL,GDE 304;HEX HD;M16;ISO M ;50 MM LG;W/HEX NUT;AS2837/AS1449, (MATERIAL),AS1111/DIN 931 (DIMENSIONS); BOX OF 25,PACK WEIGHT 3.5 KG;"
417,"BOLT,MACHINE","M16 x 70mm, Hex, S/Steel Gde 316 c/w Hex Nut S/Steel Gde 304, Aust Std  "
417,"BOLT,MACHINE","M16 x 70mm, Hex, S/Steel Gde 316 c/w Hex Nut S/Steel Gde 304, Aust Std  "
464,"BOLT,MACHINE","STAINLESS STEEL,GDE 304;HEX HD;M8;ISO M; 30 MM LG;AS2837/AS1449 (MATERIAL),AS1111 /DIN 931 (DIMENSIONS);BOX OF 100,PACK WEIGHT 1.5 KG;"
464,"BOLT,MACHINE","STAINLESS STEEL,GDE 304;HEX HD;M8;ISO M; 30 MM LG;AS2837/AS1449 (MATERIAL),AS1111 /DIN 931 (DIMENSIONS);BOX OF 100,PACK WEIGHT 1.5 KG;"
500,"SHIELD,EXPANSION",STEEL;SLEEVE ANCHOR;12 MM HOLE DIA;BOLT INSERT;M10 X 60 MM NOM LG INSERT;HEX NUT STYLE; 
502,"SHIELD,EXPANSION",STEEL;SLEEVE ANCHOR;12 MM HOLE DIA;BOLT INSERT;M12 X 80 MM NOM LG INSERT;HEX NUT STYLE;BOX OF 25; 
502,"SHIELD,EXPANSION",STEEL;SLEEVE ANCHOR;12 MM HOLE DIA;BOLT INSERT;M12 X 80 MM NOM LG INSERT;HEX NUT STYLE;BOX OF 25; 
502,"SHIELD,EXPANSION",STEEL;SLEEVE ANCHOR;12 MM HOLE DIA;BOLT INSERT;M12 X 80 MM NOM LG INSERT;HEX NUT STYLE;BOX OF 25; 
507,"SHIELD,EXPANSION",STEEL;SLEEVE ANCHOR;16 MM HOLE DIA;BOLT INSERT;M12 X 65 MM NOM LG INSERT;HEX NUT STYLE; 
513,"BOLT,HOOK","STEEL;GALV;M16;ISO M;115 MM LG;RD, 76 MM HOOK;C/W HEX NUT & SPRING WASHER;BAGS OF 5,BAG WEIGHT 1.0 KG; "
518,"BOLT,U.","STEEL;GALV;M10;ISO M;90 MM LG;66 MM W; C/W 2 GALV HEX NUTS,2 GALV SPRING WASHERS,CLAMP PLATE CP1;SUPPLIED ASSEMBLED;ASSEMBLY ITEM U3;PACK OF 20;"
520,"BOLT,U.","STEEL;GALV;M10;ISO M;110 MM LG;76 MM W; C/W 2 GALV HEX NUTS,2 GALV SPRING WASHERS,GALV CLAMP PLATE CP3;TO BE SUPPLIED ASSEMBLED;ASSEMBLY ITEM U5;"
523,"BOLT,DOUBLE U.",STEEL;GALV;M10;ISO M;150 MM LG;66 MM W; 61 MM DEEP;CLAMP PLATE CP1;C/W 2 GALV HEX NUTS& 2 SPRING WASHERS;ITEM TO BE SUPPLIED ASSEMBLED;ASSEMBLY ITEM UU1;
525,"BOLT,DOUBLE U.",STEEL;GALV;M10;ISO M;170 MM LG;66 MM W; 76 MM DEEP;CLAMP PLATE CP1;C/W 2 GALV HEX NUTS & 2 SPRING WASHERS;ITEM TO BE SUPPLIED ASSEMBLED;ASSEMBLY ITEM UU4;
526,"BOLT,DOUBLE U.",STEEL;GALV;M10;ISO M;185 MM LG;76 MM W; 76 MM DEEP;CLAMP PLATE CP3;C/W 2 GALV HEX NUTS & 2 SPRING WASHERS;ITEMS TO BE SUPPLIED ASSEMBLED;ASSEMBLY ITEM UU5;
526,"BOLT,DOUBLE U.",STEEL;GALV;M10;ISO M;185 MM LG;76 MM W; 76 MM DEEP;CLAMP PLATE CP3;C/W 2 GALV HEX NUTS & 2 SPRING WASHERS;ITEMS TO BE SUPPLIED ASSEMBLED;ASSEMBLY ITEM UU5;
571,"NUT,PLAIN,HEXAGON",BRASS;THIN NUT;3/16 IN;BSW;BOX OF 100;   
576,"NUT,PLAIN,HEXAGON","BRASS;STD;5/32 IN;BSW;BOX OF 100,PACK WEIGHT 0.08 KG;  "
576,"NUT,PLAIN,HEXAGON","BRASS;STD;5/32 IN;BSW;BOX OF 100,PACK WEIGHT 0.08 KG;  "
577,"NUT,PLAIN,HEXAGON",BRASS;STD;1/8 IN;BSW;Pack of 200   
577,"NUT,PLAIN,HEXAGON",BRASS;STD;1/8 IN;BSW;Pack of 200   
578,"NUT,PLAIN,HEXAGON",BRASS;STD;3/16 IN;BSW;BOX OF 200;   
579,"NUT,PLAIN,HEXAGON",BRASS;STD;M6;ISO M   
611,"NUT,PLAIN,HEXAGON",STEEL;GALV;STD;M10;ISO M;BOX OF 100;   
612,"NUT,PLAIN,HEXAGON","STEEL;GALV;STD;M12;ISO M;BAG OF 100, PACK WEIGHT 1.16 KG;  "
612,"NUT,PLAIN,HEXAGON","STEEL;GALV;STD;M12;ISO M;BAG OF 100, PACK WEIGHT 1.16 KG;  "
613,"NUT,PLAIN,HEXAGON",Steel;GALV;STD;M16;ISO M;Pack of 200;   
613,"NUT,PLAIN,HEXAGON",Steel;GALV;STD;M16;ISO M;Pack of 200;   
614,"NUT,PLAIN,HEXAGON","STEEL;GALV;STD;M20;ISO M;BAG OF 100, PACK WEIGHT 6.50 KG;  "
614,"NUT,PLAIN,HEXAGON","STEEL;GALV;STD;M20;ISO M;BAG OF 100, PACK WEIGHT 6.50 KG;  "
615,"NUT,PLAIN,HEXAGON",STEEL;GALV;STD;M24;ISO M;Pack of 100   
615,"NUT,PLAIN,HEXAGON",STEEL;GALV;STD;M24;ISO M;Pack of 100   
619,"NUT,PLAIN,HEXAGON","STAINLESS STEEL,GDE 304;STD;M6;ISO M; AS1444;BOX OF 100,PACK WEIGHT 0.25 KG;  "
619,"NUT,PLAIN,HEXAGON","STAINLESS STEEL,GDE 304;STD;M6;ISO M; AS1444;BOX OF 100,PACK WEIGHT 0.25 KG;  "
620,"NUT,PLAIN,HEXAGON","STAINLESS STEEL,GDE 304;THIN NUT;M8;ISO M;AS1444;BOX OF 100,PACK WEIGHT 0.3 KG;  "
620,"NUT,PLAIN,HEXAGON","STAINLESS STEEL,GDE 304;THIN NUT;M8;ISO M;AS1444;BOX OF 100,PACK WEIGHT 0.3 KG;  "
621,"NUT,PLAIN,HEXAGON","STAINLESS STEEL,GDE 304;THIN NUT;M10;ISO M;AS2837/AS1449 (MATERIAL),AS1112 (DIMENSIONS);BOX OF 100,PACK WEIGHT 0.7 KG;"
621,"NUT,PLAIN,HEXAGON","STAINLESS STEEL,GDE 304;THIN NUT;M10;ISO M;AS2837/AS1449 (MATERIAL),AS1112 (DIMENSIONS);BOX OF 100,PACK WEIGHT 0.7 KG;"
622,"NUT,PLAIN,HEXAGON","STAINLESS STEEL,GDE 304;STD;M12;ISO M; AS2837/AS1449 (MATERIAL),AS1112 DIMENSIONS);BOX OF 100,PACK WEIGHT 1.7 KG;"
622,"NUT,PLAIN,HEXAGON","STAINLESS STEEL,GDE 304;STD;M12;ISO M; AS2837/AS1449 (MATERIAL),AS1112 DIMENSIONS);BOX OF 100,PACK WEIGHT 1.7 KG;"
642,"NUT,SELF-LOCKING,HEXAGON.",STEEL;ZINC PLATED;NYLON INSERT TYPE;M6; ISO M;PACK OF 100;  
642,"NUT,SELF-LOCKING,HEXAGON.",STEEL;ZINC PLATED;NYLON INSERT TYPE;M6; ISO M;PACK OF 100;  
646,"NUT,SHEET SPRING.","SPRING STEEL;ZINC-PLATED;M6;ISO M; W/O SPRING;PACK OF 100,PACK WEIGHT 2.0 KG; "
678,"SCREW,COACH","STEEL;GALV;HEX HD;GIMLET POINT;M10; 65 MM LG;BAG OF 100,PACK WEIGHT 3.70 KG; PALLET OF 12800, WEIGHT 475KG; "
684,"SCREW,COACH","STEEL;GALV;HEX HD;GIMLET POINT;M12; 100MM LG;BOX OF 200,PACK WEIGHT 10.40 KG ,PALLET OF 6400,PALLET WEIGHT 665 KG; "
684,"SCREW,COACH","STEEL;GALV;HEX HD;GIMLET POINT;M12; 100MM LG;BOX OF 200,PACK WEIGHT 10.40 KG ,PALLET OF 6400,PALLET WEIGHT 665 KG; "
684,"SCREW,COACH","STEEL;GALV;HEX HD;GIMLET POINT;M12; 100MM LG;BOX OF 200,PACK WEIGHT 10.40 KG ,PALLET OF 6400,PALLET WEIGHT 665 KG; "
688,"SCREW,COACH",STEEL;GALV;HEX HD;GIMLET POINT;M16; 90 MM LG; Pack of 25  
688,"SCREW,COACH",STEEL;GALV;HEX HD;GIMLET POINT;M16; 90 MM LG; Pack of 25  
689,"SCREW,COACH","M16 x 130mm, Hex, Galv Steel, Gimlet Point (P25)  "
690,"SCREW,COACH","STEEL;GALV;HEX HD;GIMLET POINT;M16; 150 MM LG;BAG OF 50,PACK WEIGHT 17.55 KG  "
716,"SCREW,MACHINE","BRASS;RD HD,SLOT DRIVE;5/32 IN;BSW; 1 IN LG;BOX OF 200;  "
716,"SCREW,MACHINE","BRASS;RD HD,SLOT DRIVE;5/32 IN;BSW; 1 IN LG;BOX OF 200;  "
718,"SCREW,MACHINE","BRASS;RD HD,SLOT DRIVE;5/32 IN;BSW; 2 IN LG;BOX OF 200;  "
718,"SCREW,MACHINE","BRASS;RD HD,SLOT DRIVE;5/32 IN;BSW; 2 IN LG;BOX OF 200;  "
720,"SCREW,MACHINE","BRASS;PAN HD,SLOT DRIVE;M4;ISO M; 12 MM LG;BOX OF 200;  "
720,"SCREW,MACHINE","BRASS;PAN HD,SLOT DRIVE;M4;ISO M; 12 MM LG;BOX OF 200;  "
721,"SCREW,MACHINE","BRASS;PAN HD,SLOT DRIVE;M4;ISO M; 25 MM LG;BOX OF 200;  "
721,"SCREW,MACHINE","BRASS;PAN HD,SLOT DRIVE;M4;ISO M; 25 MM LG;BOX OF 200;  "
722,"SCREW,MACHINE","BRASS;RD HD,SLOT DRIVE;1/8 IN;BSW; 1-1/2 IN LG;BOX OF 200;  "
726,"SCREW,MACHINE","BRASS;RD HD,SLOT DRIVE;3/16 IN;BSW; 1 IN LG;BOX OF 200;  "
726,"SCREW,MACHINE","BRASS;RD HD,SLOT DRIVE;3/16 IN;BSW; 1 IN LG;BOX OF 200;  "
728,"SCREW,MACHINE","BRASS;RD HD,SLOT DRIVE;3/16 IN;BSW; 1-1/2 IN LG;BOX OF 200;  "
728,"SCREW,MACHINE","BRASS;RD HD,SLOT DRIVE;3/16 IN;BSW; 1-1/2 IN LG;BOX OF 200;  "
729,"SCREW,MACHINE","BRASS;RD HD,SLOT DRIVE;3/16 IN;BSW; 2 IN LG;BOX OF 200;  "
729,"SCREW,MACHINE","BRASS;RD HD,SLOT DRIVE;3/16 IN;BSW; 2 IN LG;BOX OF 200;  "
895,SETSCREW,STEEL;GALV;HEX HD;FLAT POINT;M16;ISO M; 30 MM LG;BOX OF 150;REFER CONCRETE POLE MANUAL 1/102;PACK OF 100; 
895,SETSCREW,STEEL;GALV;HEX HD;FLAT POINT;M16;ISO M; 30 MM LG;BOX OF 150;REFER CONCRETE POLE MANUAL 1/102;PACK OF 100; 
895,SETSCREW,STEEL;GALV;HEX HD;FLAT POINT;M16;ISO M; 30 MM LG;BOX OF 150;REFER CONCRETE POLE MANUAL 1/102;PACK OF 100; 
900,SETSCREW,"STAINLESS STEEL,GDE 304;HEX HD; FLAT POINT;M6;ISO M;25 MM LG;DIN 933; BOX OF 100; "
900,SETSCREW,"STAINLESS STEEL,GDE 304;HEX HD; FLAT POINT;M6;ISO M;25 MM LG;DIN 933; BOX OF 100; "
900,SETSCREW,"STAINLESS STEEL,GDE 304;HEX HD; FLAT POINT;M6;ISO M;25 MM LG;DIN 933; BOX OF 100; "
902,SETSCREW,"STAINLESS STEEL,GDE 304;HEX HD; FLAT POINT;M8;ISO M;25 MM LG;DIN 933; BOX OF 100;USED ON PADMOUNTS & TOMBSTONE PILLARS AS OUTLINED IN"
902,SETSCREW,"STAINLESS STEEL,GDE 304;HEX HD; FLAT POINT;M8;ISO M;25 MM LG;DIN 933; BOX OF 100;USED ON PADMOUNTS & TOMBSTONE PILLARS AS OUTLINED IN"
