CU Number,Status,Type,Type Description,Description 1,Description 2,Creation Date,Modified Date
11DCS7/N,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV DC SHACKLE 0-70 DEG NORMAL INS,11DCS7/N,28/06/2016,28/06/2016
11DCS7/S,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV DC SHACKLE 0-70 DEG SYN INS,11DCS7/S,7/08/2003,19/11/2015
11DCS9,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV DC SHACKLE 71-90 DEG,11DCS9,7/08/2003,19/11/2015
11DCS9/F,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV DC SHACKLE 71-90 DEG FOG INS,11DCS9/F,28/06/2016,28/06/2016
11DCS9/N,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV DC SHACKLE 71-90 DEG NORMAL INS,11DCS9/N,28/06/2016,28/06/2016
11DCS9/S,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV DC SHACKLE 71-90 DEG SYN INS,11DCS9/S,7/08/2003,19/11/2015
11EDO2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV EDO 2PH F'GLASS XARM WOODPOLE,11EDO2,19/05/1998,9/11/2021
11EDO2C,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV EDO 2PH F'GLASS XARM CONC POLE,11EDO2C,14/09/1996,9/11/2021
11EDO3,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV EDO 3PH F'GLASS XARM WOOD POLE),11EDO3,14/09/1996,9/11/2021
11EDO3C,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV EDO 3PH F'GLASS ARM CONC POLE,11EDO3C,14/09/1996,25/10/2022
11EDOG,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV EDO (GANGED) CONST,11EDOG,26/09/1990,9/11/2021
11EXPTCLO,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11EXPTCLO 11KV EXTENSION WITH PT (SP),11EXPTCLO,9/02/2010,31/05/2022
11EXPTINT,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11EXPTINT 11KV EXTENSION WITH PT (SP),11EXPTINT,9/02/2010,31/05/2022
11FAS,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV FUSE SAVER - ONE PHASE 100A,11FAS,8/08/2012,26/10/2016
11FAS-3,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV FUSE SAVER - THREE PHASE 100A,11FAS-3,8/08/2012,26/10/2016
11FAS32,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV FUSE SAVER - ONE PHASE 32A,11FAS32,20/02/2014,19/11/2015
11FAS32-3,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV FUSE SAVER - THREE PHASE 32A,11FAS32-3,20/02/2014,19/11/2015
11FP,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV FLAT POST CONSTRUCTION,11FP,29/04/2006,19/11/2015
11FP/N,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV FLAT POST CONSTRUCTION - POST INS,11FP/N,29/04/2006,19/11/2015
11FP/NCCT,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV FLAT POST CONSTRUCTION - CCT,11FP/NCCT,29/04/2006,19/11/2015
11FP/NCCTLOK,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV FLAT POST CONSTN - CCT WITH LOK,11FP/NCCTLOK,5/05/2006,19/11/2015
11FS/SMO,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,"11kV,FlyingShackle,Synthetic,Moon/Wire",11FS/SMO,27/01/2009,19/11/2015
11HS,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11H Frame Shackle 5550x150x100arm,11HS,19/08/2016,19/08/2016
11HS1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11H Frame Shackle 5550x150x150arm,11HS1,19/08/2016,19/08/2016
11HS2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11H Frame Shackle 5550x200x200arm,11HS2,19/08/2016,19/08/2016
11HS3,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11H Frame Shackle 5550x150x150arm,11HS3,19/08/2016,19/08/2016
11HSU,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11H Frame Suspension 5550x150x100arm,11HSU,19/08/2016,19/08/2016
11ISO,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV ISOLATING SWITCH CONSTRUCTION,11ISO,24/06/1994,9/11/2021
11ISOT,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV ISOLATING SWITCH CONSTN TIMBER XARM,11ISOT,3/04/2007,9/11/2021
11LBS-EQP,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV LOAD BREAK SWITCH INSTALLATION,11LBS-EQP,30/10/2001,19/11/2015
11LBSMPFF,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV MANUAL LOAD BREAK SW- MID POLE FF,11LBSMPFF,2/08/2011,19/11/2015
11LBSMPFFIS,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV MANUAL LBS- MID POLE FF ILJIN,11LBSMPFFIS,31/12/2013,9/03/2023
11LBSNGKREF,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV MANUAL LOAD BREAK SW- NGK REFURBISH,11LBSNGKREF,7/10/2016,7/10/2016
11LBSPTFF,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV MANUAL LOAD BREAK SW- POLE TOP FF,11LBSPTFF,1/08/2011,19/11/2015
11LBSPTFFIS,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV MANUAL LBS- POLE TOP FF ILJIN,11LBSPTFFIS,31/12/2013,26/10/2022
11LBSRMP,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV REMOTE CONTROLLED LOAD BREAK SWITCH,11LBSRMP,6/02/2008,2/12/2022
11LBSRMPFF,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV REMOTE CONTROLLED LOAD BREAK SW FF,11LBSRMPFF,8/11/2013,2/12/2022
11MTU,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV METERING UNIT POLE- TWS,11MTU,3/10/1995,13/09/2017
11NTD/N/CCT,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV NARROW TRIDENT STRAIGHT LINE CCT,11NTD/N/CCT,31/01/2018,16/02/2018
11NTDA/N/CCT,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV NARROW TRIDENT ANGLE CONST CCT,11NTDA/N/CCT,31/01/2018,16/02/2018
11NTDANCCTLO,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV NARROW TRIDENT ANGLE CONST CCT LOK,11NTDANCCTLOK,31/01/2018,16/02/2018
11NTDNCCTLOK,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV NARROWTRIDENT STRAIGHT LINE CCT LOK,11NTDNCCTLOK,31/01/2018,20/05/2021
11P,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV PIN CONSTRUCTION,11P,14/07/1997,13/10/2021
11P/1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,"11KV PIN CONSTRUCTION (NORM , 1 PH)",11P/1,15/02/1989,19/11/2015
11P/F,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV PIN CONSTRUCTION / FOG INSULATORS,11P/F,19/09/1989,19/11/2015
11P/N,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV PIN CONSTRUCTION / NORM. INSULATORS,11P/N,19/09/1989,30/04/2020
11PC1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV INTELLIRUPER PULSE CLOSER CONSTN,11PC1,6/03/2012,9/11/2021
11PE,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV POLE EXTENSION - PIN CONSTRUCTION,11PE,14/09/1996,19/11/2015
11PE/F,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV POLE EXT. - PIN CONST./ FOG INSUL.,11PE/F,11/07/1989,19/11/2015
11PE/N,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV POLE EXT. - PIN CONST./NORM. INSUL.,11PE/N,11/07/1989,19/11/2015
11PEP,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV POLE EXTENSION POST TRIDENT CONSTR.,11PEP,14/10/1994,19/11/2015
11PEP/F,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV POLE EXTENSION - POST CON (POST),11PEP/F,20/09/1994,19/11/2015
11PEP/N,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV POLE EXTENSION SHORT - TRIDENT,11PEP/N,20/09/1994,19/11/2015
11PEP/NCCT,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV POLE EXTENSION SHORT - TRIDENT CCT,11PEP/NCCT,29/03/2007,19/11/2015
11PES,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV POLE EXTN-SHACKLE,11PES,3/08/2011,19/11/2015
11PES/F,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV POLE EXTN-SHACKLE FOG INS,11PES/F,3/08/2011,19/11/2015
11PES/N,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV POLE EXTN-SHACKLE NORM INS,11PES/N,3/08/2011,19/11/2015
11PES/S,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV POLE EXTN-SHACKLE SYN INS,11PES/S,3/08/2011,19/11/2015
11PET,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV POLE EXTN-TERMINATION,11PET,1/05/1996,19/11/2015
11PET/F,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV POLE EXTN-TERMINATION FOG INS,11PET/F,1/05/1996,19/11/2015
11PET/N,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV POLE EXTN-TERMINATION NORM INS,11PET/N,1/05/1996,19/11/2015
11PET/S,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV POLE EXTN-TERMINATION SYN INS,11PET/S,1/05/1996,19/11/2015
11PETD,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV POLE EXTENSION LONG - TRIDENT,11PETD,27/09/2000,19/11/2015
11PETD/N,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV POLE EXTENSION LONG - TRIDENT,11PETD/N,29/03/2007,19/11/2015
11PETD/NCCT,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV POLE EXTENSION LONG - TRIDENT CCT,11PETD/NCCT,29/03/2007,7/07/2022
11PETF/1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV POLE EXTENSION-TERM.CONST. (1 PH),11PETF/1,14/09/1996,19/11/2015
11PT/100,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,SUNDRY ITEMS 100KVA PT HVOW LVOW WP,11PT/100,16/12/1998,23/01/2023
11PT/100AAL,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,SUNDRY ITEMS 100KVA PT HVABC LVABC WP,11PT/100AAL,2/11/2007,19/11/2015
11PT/100C,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,SUNDRY ITEMS 100KVA PT HVOW LVOW CP,11PT/100C,2/11/2007,23/01/2023
11PT/100WA,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,SUNDRY ITEMS 100KVA PT HVOW LVABC WP,11PT/100WA,21/11/1997,19/11/2015
11PT/100WAC,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,SUNDRY ITEMS 100KVA PT HVOW LVABC CP,11PT/100WAC,21/11/1997,26/09/2022
11PT/10B,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,SUNDRY ITEMS 10KVA PT 1PH WOOD BOLT,11PT/10B,21/11/1997,19/11/2015
11PT/10BC,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,SUNDRY ITEMS 10KVA 1PH CONC BOLT,11PT/10BC,21/11/1997,19/11/2015
11PT/200,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,SUNDRY ITEMS 200KVA PT HVOW LVOW WP,11PT/200,30/12/1998,23/01/2023
11PT/200AAL,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,SUNDRY ITEMS 200KVA PT HVABC LVABC WP,11PT/200AAL,8/11/2007,19/11/2015
11PT/200C,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,SUNDRY ITEMS 200KVA PT HVOW LVOW CP,11PT/200C,29/06/2011,23/01/2023
11PT/200WA,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,SUNDRY ITEMS 200KVA PT HVOW LVABC WP,11PT/200WA,11/12/1998,19/11/2015
11PT/200WAC,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,SUNDRY ITEMS 200KVA PT HVOW LVABC CP,11PT/200WAC,8/11/2007,26/09/2022
11PT/25,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,SUNDRY ITEMS 25KVA 3PH PT HVOW LVOW WP,11PT/25,22/07/2009,23/01/2023
11PT/25ABC,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,SUNDRY ITEMS 25KVA 3PH PT HVOW LVABC WP,11PT/25ABC,22/07/2009,19/11/2015
11PT/25B,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,SUNDRY ITEMS 25KVA PT 1PH HVOW LV SER WP,11PT/25B,21/11/1997,30/03/2021
11PT/25C,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,SUNDRY ITEMS 25KVA PT CONC BOLT,11PT/25C,21/11/1997,23/01/2023
11PT/25WA,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,SUNDRY ITEMS 25KVA 3PH PT HVOW LVSERV WP,11PT/25WA,21/11/1997,19/11/2015
11PT/315,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,SUNDRY ITEMS 315KVA PT HVOW LVOW WP,11PT/315,2/11/1994,23/01/2023
11PT/315AAL,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,SUNDRY ITEMS 315KVA PT HVABC LVABC WP,11PT/315AAL,8/11/2007,19/11/2015
11PT/315C,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,SUNDRY ITEMS 315KVA PT HVOW LVOW CP,11PT/315C,14/09/1996,23/01/2023
